Date,Close,High,Low,Open,Volume,returns,volatility_7d,volume_ma_7d,returns_zscore,rolling_max,drawdown_pct,volume_pctl,is_crash
2023-05-09,27658.775390625,27821.400390625,27375.6015625,27695.068359375,14128593256,-0.12817829272578907,1.8080849258252094,16153562394.0,-0.1310445998251738,29534.384765625,-6.350595720493956,36268918432.9,False
2023-05-10,27621.755859375,28322.6875,26883.669921875,27654.63671875,20656025026,-0.13384371045779275,1.6750860276268047,16372569895.142857,-0.15420185041549703,29534.384765625,-6.4759395580032635,36268918432.9,False
2023-05-11,27000.7890625,27621.94140625,26781.826171875,27621.0859375,16724343943,-2.2481076150133283,1.7724151014859888,16540522099.285715,-0.8949404621185055,29534.384765625,-8.578461082669463,36268918432.9,False
2023-05-12,26804.990234375,27055.646484375,25878.4296875,26987.662109375,19313599897,-0.7251596524522896,1.046534016954485,16737241153.428572,-0.349830525667395,29534.384765625,-9.241413196548908,35760952418.3,False
2023-05-13,26784.078125,27030.482421875,26710.873046875,26807.76953125,9999171605,-0.07801573211611013,1.0847817164878628,15892284709.285715,-0.12242328831673056,29534.384765625,-9.312219172501857,34051759254.000004,False
2023-05-14,26930.638671875,27150.9765625,26661.35546875,26788.974609375,10014858959,0.5471927993601522,1.2137905941963238,15708499491.142857,0.09669130246724308,29534.384765625,-8.81598216591427,33430425875.7,False
2023-05-15,27192.693359375,27646.34765625,26766.09765625,26931.384765625,14413231792,0.9730726801279843,1.033382846805489,15035689211.142857,0.2511509924380026,29534.384765625,-7.9286953997277365,32007020006.100002,False
2023-05-16,27036.650390625,27299.3046875,26878.947265625,27171.513671875,12732238816,-0.5738415341494774,1.0379032919383737,14836210005.428572,-0.2736740023947062,29534.384765625,-8.45703878655738,27623524726.20001,False
2023-05-17,27398.802734375,27465.927734375,26600.14453125,27035.470703125,15140006925,1.3394867282656264,1.2160081589383553,14048207419.571428,0.4323910538667797,29534.384765625,-7.230832970441958,26097624366.7,False
2023-05-18,26832.208984375,27466.52734375,26415.1015625,27401.650390625,15222938600,-2.067950762275983,1.163990780750862,13833720942.0,-0.8402282281643274,29534.384765625,-9.149253667186786,24712439974.9,False
2023-05-19,26890.12890625,27128.619140625,26700.2109375,26826.75390625,11258983301,0.21585968530852817,1.1314317048782465,12683061428.285715,0.032636060814914165,29534.384765625,-8.953143532052321,24255546862.2,False
2023-05-20,27129.5859375,27155.158203125,26843.27734375,26888.841796875,7044911360,0.8905016115201336,1.171556757410384,12261024250.428572,0.28152169827173995,29534.384765625,-8.142369807966809,22816038940.000004,False
2023-05-21,26753.826171875,27265.91796875,26706.921875,27118.423828125,8647416921,-1.3850552916312875,1.2943453841058425,12065675387.857143,-0.5748593834916796,29534.384765625,-9.414648775708667,22457814463.8,False
2023-05-22,26851.27734375,27045.734375,26549.734375,26749.892578125,11056770492,0.3642513457661867,1.2301143768573284,11586180916.428572,0.08691969216008177,29534.384765625,-9.084690414807161,21449859319.100002,False
2023-05-23,27225.7265625,27434.68359375,26816.1796875,26855.9609375,13697203143,1.3945303754316907,1.3432113442830487,11724032963.142857,0.472032511573596,29534.384765625,-7.816848806723886,20817589933.0,False
2023-05-24,26334.818359375,27224.603515625,26106.576171875,27224.603515625,16299104428,-3.2723027651064163,1.7171220735534931,11889618320.714285,-1.2981408671594015,29534.384765625,-10.833360612183697,20817589933.0,False
